time/episodes,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef
340,0.02,912,12.48,4,3979,-1.23021982,0.001,-2.7337756156921387,0.00394405797123909,3878,-11.173809051513672,0.02581092156469822
350,0.03,944,12.49,4,4115,-1.2119108,0.001,-2.6058411598205566,0.003280075266957283,4014,-13.144102096557617,0.02314889244735241
360,0.02,975,12.68,4,4249,-1.19530736,0.001,-2.4556045532226562,0.019652176648378372,4148,-11.725984573364258,0.02081732638180256
370,0.01,1019,13.4,4,4436,-1.23216579,0.001,-2.375471830368042,0.024432241916656494,4335,-12.349479675292969,0.017924899235367775
380,0.01,1081,14.83,4,4694,-1.3291089600000001,0.001,-2.155303478240967,0.01662585139274597,4593,-11.924407005310059,0.01460357941687107
390,0.03,1115,15.07,4,4836,-1.3322752399999995,0.001,-2.086104393005371,0.019260916858911514,4735,-11.853033065795898,0.013040716759860516
400,0.05,1212,17.8,4,5230,-1.4727244899999996,0.001,-1.7823569774627686,0.0017342581413686275,5129,-11.41274642944336,0.00944166537374258
410,0.09,1382,23.15,4,5910,-1.6993813800000002,0.001,-1.314870834350586,0.0011519056279212236,5809,-12.171012878417969,0.005623265169560909
420,0.14,1536,28.18,4,6528,-1.8996910600000003,0.001,-0.9563053846359253,0.0008099420228973031,6427,-7.805735111236572,0.003705148119479418
430,0.2,1682,32.71,4,7113,-2.01283006,0.001,-0.6482429504394531,0.0007638224051333964,7012,-4.503290176391602,0.0027279448695480824
440,0.28,1797,35.97,4,7576,-2.09694088,0.001,-0.4837183952331543,0.0022773342207074165,7475,-3.9221386909484863,0.0022569186985492706
