rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
-0.39866311000000004,4,16940,72325,5.51,1.0,9180,0.001,0.0018299876052575807,0.17482352256774902,72227
-0.39365885,4,16951,72374,5.46,1.0,9190,0.001,0.0019379275327082723,0.17281830310821533,72277
-0.3950637999999999,4,16964,72428,5.44,1.0,9200,0.001,0.0016764329629950225,0.17659839491049448,72332
-0.3928411799999999,4,16978,72486,5.46,1.0,9210,0.001,0.0017339643922501377,0.1859045773744583,72387
-0.39178016,4,16992,72541,5.47,1.0,9220,0.001,0.0018088658689521253,0.17442727833986282,72441
-0.3886054699999999,4,17004,72593,5.46,1.0,9230,0.001,0.0016920803048248803,0.179435595870018,72496
-0.37918490000000005,4,17017,72645,5.42,1.0,9240,0.001,0.0017187544726766646,0.17584233731031418,72547
-0.38220470999999995,4,17030,72702,5.47,1.0,9250,0.001,0.0017441335134208203,0.18147903184096018,72604
-0.3794836700000001,4,17043,72756,5.44,1.0,9260,0.001,0.0018114666687324642,0.17498435080051422,72658
-0.37595449000000003,4,17058,72815,5.48,1.0,9270,0.001,0.0016929057601373643,0.1801614612340927,72716
-0.37955973,4,17072,72873,5.48,1.0,9280,0.001,0.0020159396226517856,0.17595818638801575,72775
-0.3864355,4,17085,72928,5.54,1.0,9290,0.001,0.0016485998251785834,0.18258215487003326,72830
-0.38351769999999996,4,17098,72983,5.55,1.0,9300,0.001,0.0016230487963184714,0.16750674694776535,72885
-0.38462956000000004,4,17111,73037,5.51,1.0,9310,0.001,0.0018746421639142291,0.17811071872711182,72941
-0.38427832999999995,4,17124,73090,5.49,1.0,9320,0.001,0.0017271315058072407,0.17504236102104187,72994
-0.39004962000000004,4,17137,73146,5.53,1.0,9330,0.001,0.0018689627953184147,0.1802991529305776,73048
-0.39795365000000005,4,17151,73201,5.56,1.0,9340,0.001,0.0020541804648625353,0.178804745276769,73105
-0.39326435000000004,4,17163,73253,5.51,1.0,9350,0.001,0.0017869883449748158,0.17604389786720276,73155
-0.38922812,4,17175,73302,5.46,1.0,9360,0.001,0.0018426786409690976,0.17974341909090677,73204
-0.38821546999999995,4,17188,73355,5.4,1.0,9370,0.001,0.001981506263837218,0.17467508713404337,73258
-0.38337296000000004,4,17202,73412,5.39,1.0,9380,0.001,0.0017306506245707471,0.18714828292528787,73315
