time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
44157,11834,5.16,0.87,-0.49942051,3,7490,1.0415335054858588e-05,44054,0.1721242368221283,0.001
44209,11848,5.16,0.87,-0.49790668999999993,3,7500,3.749467123270733e-05,44106,0.1678586850563685,0.001
44261,11863,5.13,0.86,-0.49542689,3,7510,1.2602768817617158e-05,44159,0.171076061470168,0.001
44315,11877,5.18,0.87,-0.49164508999999995,3,7520,7.0741817320855005e-06,44212,0.16808035331112997,0.001
44368,11891,5.2,0.87,-0.49030140999999994,3,7530,1.194195901916828e-05,44266,0.17143638134002687,0.001
44426,11907,5.23,0.88,-0.4894006900000001,3,7540,1.2458255332603585e-05,44323,0.1716820240020752,0.001
44483,11923,5.28,0.88,-0.49393977000000006,3,7550,6.356200888798672e-06,44380,0.17438862153462,0.001
44540,11938,5.34,0.9,-0.4949480499999999,3,7560,1.0905017188633791e-05,44438,0.15870484113693237,0.001
44596,11953,5.45,0.92,-0.50131982,3,7570,7.74752606957918e-06,44493,0.17238576710224152,0.001
44649,11968,5.48,0.91,-0.50417301,3,7580,8.092816491019525e-06,44547,0.1740603670477867,0.001
44706,11983,5.49,0.91,-0.50068445,3,7590,1.0491183729754994e-05,44604,0.16750648866097131,0.001
44764,11999,5.55,0.92,-0.50987492,3,7600,1.5067353388076299e-05,44661,0.17393213510513306,0.001
44819,12014,5.58,0.94,-0.51330541,3,7610,8.340891630117161e-06,44717,0.16478219628334045,0.001
44866,12027,5.51,0.95,-0.50461108,3,7620,1.837499363925114e-05,44763,0.17245307316382727,0.001
44917,12041,5.49,0.95,-0.50892184,3,7630,8.85882127477089e-06,44815,0.17549567917982736,0.001
44971,12055,5.45,0.95,-0.50766192,3,7640,1.4876843882423904e-05,44869,0.16704051196575165,0.001
45028,12071,5.45,0.95,-0.5117356200000001,3,7650,8.808629263512558e-06,44925,0.17038821876049043,0.001
45082,12086,5.42,0.94,-0.5121433999999999,3,7660,1.2136466769637385e-05,44981,0.17300205181042352,0.001
45134,12100,5.38,0.94,-0.5087795800000001,3,7670,1.1867919874930522e-05,45031,0.16844149231910704,0.001
45189,12115,5.4,0.95,-0.51334189,3,7680,5.940624760114588e-06,45088,0.16834632803996405,0.001
45244,12130,5.38,0.95,-0.5103125800000001,3,7690,6.8297667894512415e-06,45141,0.1632975066701571,0.001
45296,12144,5.32,0.93,-0.50972698,3,7700,8.230720855603327e-06,45194,0.1734547380890165,0.001
45347,12158,5.28,0.92,-0.50711197,3,7710,6.676308294117916e-06,45245,0.17074955701828004,0.001
45401,12172,5.35,0.93,-0.51560254,3,7720,1.0543212283664616e-05,45299,0.1680482216179371,0.001
45452,12186,5.35,0.93,-0.51602253,3,7730,8.25751461282683e-06,45350,0.16829987863699594,0.001
45506,12201,5.35,0.93,-0.51634092,3,7740,6.8488443503156304e-06,45403,0.1616867631673813,0.001
45561,12216,5.33,0.94,-0.5100752199999999,3,7750,5.688821602234384e-06,45459,0.17341312766075134,0.001
45613,12230,5.31,0.94,-0.5090897699999999,3,7760,5.495770619745599e-06,45510,0.16910306811332704,0.001
45668,12245,5.34,0.95,-0.5067268,3,7770,7.628045902189721e-06,45565,0.16731149951616922,0.001
45723,12260,5.34,0.95,-0.50313937,3,7780,9.71433579858664e-06,45620,0.16896501431862512,0.001
45774,12274,5.3,0.93,-0.50549293,3,7790,8.177350537152961e-06,45672,0.17314512133598328,0.001
45828,12289,5.32,0.94,-0.50227276,3,7800,6.841270351287676e-06,45725,0.16599718928337098,0.001
45878,12302,5.31,0.94,-0.50191034,3,7810,8.992635866889031e-06,45776,0.16748887598514556,0.001
45937,12318,5.36,0.94,-0.5076415599999999,3,7820,1.4993114746175706e-05,45834,0.1756753981113434,0.001
45989,12332,5.37,0.94,-0.50443501,3,7830,1.2185773266537581e-05,45886,0.17576224505901336,0.001
46045,12348,5.39,0.94,-0.50393978,3,7840,1.1713593448803294e-05,45942,0.16164255142211914,0.001
46097,12362,5.36,0.93,-0.5033605800000001,3,7850,1.03611182566965e-05,45994,0.17413548231124878,0.001
46150,12376,5.37,0.93,-0.5054662400000001,3,7860,1.761856401572004e-05,46047,0.17097735702991484,0.001
46200,12390,5.32,0.92,-0.50562767,3,7870,7.506144538638182e-06,46097,0.1681942105293274,0.001
46249,12403,5.26,0.9,-0.5059817200000001,3,7880,1.5143332711886615e-05,46148,0.16928086876869203,0.001
46311,12420,5.37,0.91,-0.51147087,3,7890,1.3896626872641113e-05,46208,0.1710784203476376,0.001
46369,12436,5.41,0.89,-0.51475099,3,7900,1.1818781331385253e-05,46266,0.17958174645900726,0.001
46417,12449,5.39,0.89,-0.5098964800000001,3,7910,1.1354680100339466e-05,46315,0.17137613594532014,0.001
46469,12463,5.32,0.88,-0.50471352,3,7920,8.411405360675417e-06,46366,0.17467727263768515,0.001
46521,12477,5.32,0.88,-0.50777675,3,7930,6.141259139743245e-06,46419,0.16654026756683984,0.001
46574,12491,5.29,0.87,-0.50893093,3,7940,9.012317423184869e-06,46470,0.17594932913780212,0.001
46629,12506,5.32,0.87,-0.5079083400000001,3,7950,1.0813370712033551e-05,46525,0.17209713409344354,0.001
46682,12521,5.32,0.88,-0.5026837200000001,3,7960,1.0613955445088713e-05,46580,0.1693293069090162,0.001
46733,12535,5.33,0.88,-0.5042415600000001,3,7970,8.208758269271735e-06,46630,0.17285739382108053,0.001
46791,12550,5.42,0.9,-0.5066127100000001,3,7980,7.654720093341894e-06,46689,0.16910774012406668,0.001
46841,12564,5.3,0.89,-0.50644389,3,7990,8.413095565629192e-06,46740,0.17447318136692047,0.001
46895,12579,5.26,0.92,-0.5000836,3,8000,1.094122618875796e-05,46793,0.1693571830789248,0.001
46945,12592,5.28,0.91,-0.50891932,3,8010,1.1902134095483538e-05,46842,0.17054308454195657,0.001
46999,12607,5.3,0.92,-0.50694129,3,8020,6.920483974681701e-06,46896,0.16665769815444947,0.001
47054,12622,5.33,0.93,-0.50532955,3,8030,8.829249888246219e-06,46951,0.1722008759776751,0.001
47109,12637,5.35,0.94,-0.50352401,3,8040,1.0145642022507673e-05,47006,0.16644776239991188,0.001
47160,12651,5.31,0.94,-0.49975403,3,8050,5.345522292069897e-06,47057,0.17751059184471765,0.001
47206,12663,5.24,0.92,-0.49600971,3,8060,9.942861311174056e-06,47103,0.17717767506837845,0.001
47254,12676,5.21,0.91,-0.49753649000000005,3,8070,2.794865372379718e-05,47152,0.17296679069598517,0.001
47304,12690,5.13,0.89,-0.49652265999999995,3,8080,6.204999635883723e-06,47202,0.17061046759287515,0.001
47363,12706,5.22,0.9,-0.49853890999999995,3,8090,1.0077376113518507e-05,47261,0.16097577129091536,0.001
47413,12720,5.18,0.87,-0.4988049299999999,3,8100,1.2090369455108885e-05,47313,0.18163222670555115,0.001
47462,12733,5.17,0.87,-0.49470673000000004,3,8110,1.3058059494142071e-05,47359,0.16393510003884634,0.001
47513,12747,5.14,0.86,-0.49584460999999996,3,8120,8.290863206639187e-06,47411,0.17864407102266947,0.001
47564,12760,5.1,0.84,-0.49852456999999994,3,8130,5.529920463231974e-06,47461,0.17248882949352265,0.001
47620,12776,5.11,0.84,-0.50187739,3,8140,8.044532781544452e-06,47518,0.18095345298449197,0.001
47668,12789,5.08,0.83,-0.49822891000000014,3,8150,1.4458966991999963e-05,47566,0.17005703846613565,0.001
47719,12803,5.13,0.83,-0.50423052,3,8160,6.573922616683246e-06,47617,0.17092932547841752,0.001
47767,12816,5.13,0.84,-0.49789800000000006,3,8170,8.633961260784418e-06,47665,0.17065098285675048,0.001
47817,12829,5.13,0.84,-0.49704130999999996,3,8180,6.702725992605944e-06,47714,0.17558757464090982,0.001
47866,12843,5.03,0.83,-0.49419564,3,8190,7.874912989791483e-06,47764,0.1695586323738098,0.001
47923,12858,5.1,0.86,-0.49498835,3,8200,1.4767519739204241e-05,47820,0.17100861171881357,0.001
47992,12877,5.3,0.88,-0.50048266,3,8210,1.854353625898703e-05,47890,0.1714882442825719,0.001
48038,12889,5.25,0.86,-0.49666568,3,8220,2.5360170911881142e-05,47936,0.17332539856433868,0.001
48083,12902,5.19,0.85,-0.488414,3,8230,1.0690792987588792e-05,47980,0.17187174558639526,0.001
48138,12917,5.18,0.85,-0.48504654,3,8240,9.422524817637168e-06,48033,0.17798885107040405,0.001
48193,12932,5.25,0.87,-0.49047737,3,8250,8.099635306280106e-06,48091,0.1699227899312973,0.001
48249,12947,5.3,0.89,-0.49339383,3,8260,8.84866199157841e-06,48148,0.1693297177553177,0.001
48301,12961,5.34,0.9,-0.49828046,3,8270,7.663664746360155e-06,48199,0.17284895479679108,0.001
48352,12975,5.35,0.92,-0.49679757,3,8280,6.358958368461269e-06,48250,0.16858218361934027,0.001
48405,12989,5.39,0.93,-0.49507952999999993,3,8290,1.366371288895607e-05,48303,0.165039587020874,0.001
48456,13003,5.33,0.91,-0.49390902000000003,3,8300,1.3897852719916651e-05,48353,0.18020583192507425,0.001
48509,13017,5.17,0.9,-0.48962288,3,8310,1.4987788442037223e-05,48405,0.1723592629035314,0.001
48550,13029,5.12,0.89,-0.4867291199999999,3,8320,8.474981389857325e-06,48450,0.17534280568361282,0.001
48599,13042,5.16,0.91,-0.4895517999999999,3,8330,8.048788276937558e-06,48498,0.1670987129211426,0.001
48652,13056,5.14,0.9,-0.48812769999999994,3,8340,9.237438007403398e-06,48549,0.17592990398406982,0.001
48706,13071,5.13,0.9,-0.49302720000000017,3,8350,7.957838837076755e-06,48604,0.16854287187258402,0.001
48756,13084,5.07,0.88,-0.48990349,3,8360,6.189708680418941e-06,48657,0.17241722345352173,0.001
48806,13098,5.05,0.87,-0.48454564999999994,3,8370,1.1351937246217858e-05,48704,0.18413602709770202,0.001
48857,13112,5.05,0.86,-0.48501635,3,8380,7.0382850935857276e-06,48753,0.1749727576971054,0.001
48906,13125,5.01,0.86,-0.48133244000000003,3,8390,1.1774765789596131e-05,48803,0.16655083894729614,0.001
48958,13139,5.02,0.87,-0.48175789,3,8400,6.140372761365143e-06,48855,0.1756618246436119,0.001
49009,13153,5.0,0.87,-0.47792193000000005,3,8410,1.07005583231512e-05,48908,0.1744145005941391,0.001
49065,13169,5.15,0.91,-0.4896003099999999,3,8420,7.092871328495676e-06,48962,0.17745160311460495,0.001
49119,13183,5.2,0.91,-0.4904257300000001,3,8430,9.862193110166118e-06,49019,0.1732926443219185,0.001
49171,13197,5.19,0.91,-0.49094124000000006,3,8440,1.0543423741182778e-05,49067,0.17569726705551147,0.001
49224,13212,5.18,0.91,-0.4851881,3,8450,5.963500916550401e-06,49122,0.16992520689964294,0.001
49281,13227,5.25,0.93,-0.4875311600000001,3,8460,7.795703065009244e-06,49178,0.1650247573852539,0.001
49331,13241,5.25,0.93,-0.48820670000000005,3,8470,1.0698926492599034e-05,49229,0.17029523849487305,0.001
49385,13256,5.28,0.94,-0.49152589999999996,3,8480,9.68854683378595e-06,49283,0.1706145077943802,0.001
49441,13271,5.35,0.95,-0.49562435,3,8490,7.587504049817133e-06,49338,0.16513523033687047,0.001
49493,13285,5.35,0.95,-0.49562172,3,8500,9.01342673387262e-06,49391,0.1691004435221354,0.001
49537,13297,5.28,0.93,-0.49489919,3,8510,5.933156330684142e-06,49436,0.16701239347457886,0.001
