time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
4,-0.8959672599999999,8.54,0.92,3391,950,14535,0.001,0.19149371555873326,14440,0.00019972690123332932
4,-0.8832828199999999,8.28,0.9,3409,960,14607,0.001,0.19085676542350224,14511,0.00016834923839529177
4,-0.8636423,7.81,0.9,3430,970,14698,0.001,0.20469914749264717,14598,0.00015367648848041426
4,-0.85259312,7.79,0.89,3448,980,14769,0.001,0.18100576661527157,14675,0.00016195111675187945
4,-0.8700106500000001,7.74,0.89,3468,990,14853,0.001,0.1913364753127098,14759,0.00017524949653306975
4,-0.8667228699999998,7.81,0.9,3487,1000,14935,0.001,0.18895201597894942,14841,0.00016094145394163206
4,-0.86637405,7.77,0.9,3504,1010,15003,0.001,0.19057825952768326,14909,0.00015861564133956563
4,-0.8629678800000002,7.75,0.9,3521,1020,15075,0.001,0.19093240549166998,14982,0.000146979162915765
4,-0.87981272,7.58,0.92,3538,1030,15146,0.001,0.1817812536443983,15052,0.0001279620108627049
4,-0.8969434799999999,7.75,0.93,3557,1040,15226,0.001,0.17927137442997523,15131,0.00015233688048153584
4,-0.8920345000000001,7.6,0.93,3574,1050,15295,0.001,0.1820885121822357,15200,0.0001640680886339396
4,-0.88444763,7.79,0.93,3596,1060,15386,0.001,0.19315950075785318,15293,0.0001393909139248232
4,-0.87831299,7.78,0.93,3617,1070,15476,0.001,0.18244029250409868,15381,0.00011817841328188984
4,-0.9025570200000002,7.93,0.94,3638,1080,15562,0.001,0.190658376975493,15468,0.00013598884503484112
4,-0.8910631800000002,7.89,0.95,3657,1090,15642,0.001,0.19322961382567883,15548,0.00013998127360537183
4,-0.8971340699999999,7.86,0.94,3676,1100,15721,0.001,0.17770877267633164,15626,0.0001461073095145236
4,-0.9117459600000001,8.13,0.95,3699,1110,15816,0.001,0.1890165443931307,15721,0.00011162391248425203
4,-0.91037078,8.15,0.96,3717,1120,15890,0.001,0.1817923424144586,15796,0.00012574232459883206
4,-0.9170065700000001,8.18,0.95,3734,1130,15964,0.001,0.19323216192424297,15871,0.00011238785009481944
4,-0.9128483100000001,8.07,0.94,3751,1140,16033,0.001,0.19090446643531322,15937,0.00014363722857524408
4,-0.92222845,8.19,0.95,3770,1150,16114,0.001,0.1816589396733504,16021,0.00010880074786165587
4,-0.9365520400000001,8.04,0.97,3788,1160,16190,0.001,0.19090224589620317,16096,0.00011001802444557793
4,-0.9527081999999997,7.92,0.97,3807,1170,16268,0.001,0.1873835176229477,16172,0.00012006902276577118
4,-0.9322869699999999,7.77,0.96,3824,1180,16339,0.001,0.20008637507756552,16244,0.00012079138347568612
4,-0.9353247099999998,7.74,0.95,3843,1190,16416,0.001,0.19402943551540375,16321,0.00012830496901491037
4,-0.9276621999999999,7.6,0.94,3858,1200,16481,0.001,0.1937477162906102,16388,0.00010742112187602158
4,-0.9119264500000002,7.32,0.92,3874,1210,16548,0.001,0.18979659378528596,16453,0.00010628993186401203
4,-0.9189007499999999,7.31,0.91,3892,1220,16621,0.001,0.18988407509667532,16526,9.28544468479231e-05
4,-0.9000094299999999,7.27,0.92,3909,1230,16691,0.001,0.19246632605791092,16596,9.514979925976756e-05
4,-0.8967700399999999,7.28,0.92,3926,1240,16761,0.001,0.18755171820521355,16665,8.687721401656745e-05
