rollout/success_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
0.03,210,-0.6132887899999999,6.69,229,4,1138,0.19252964854240417,0.001,0.0004810468526557088,1042
0.04,220,-0.5910631099999999,6.69,243,4,1201,0.1957740762404033,0.001,0.0005657177035962897,1105
0.04,230,-0.5905030600000001,6.8,257,4,1271,0.1969580011708396,0.001,0.0005813091743870505,1175
0.04,240,-0.5807706800000001,6.92,274,4,1350,0.1940236806869507,0.001,0.000725932396017015,1253
0.05,250,-0.5855396399999999,7.4,300,4,1464,0.19511563703417778,0.001,0.0009127091689151712,1368
0.06,260,-0.62953194,8.33,338,4,1628,0.18882350836481368,0.001,0.0007296087735864733,1535
0.08,270,-0.6163086,8.24,351,4,1689,0.18976822681725025,0.001,0.0007348339422605932,1595
0.07,280,-0.6192450300000001,8.4,369,4,1774,0.18973907828330994,0.001,0.0007099691553906139,1670
0.06,290,-0.7327577500000001,10.53,435,4,2056,0.1807059645652771,0.001,0.000739896239247173,1867
0.06,300,-0.9210505600000001,14.46,547,4,2518,0.1728789061307907,0.001,0.0008384120417758822,2414
0.08,310,-1.1044995,18.83,667,4,3021,0.16052156686782837,0.001,0.0008483559782193465,2832
0.09,320,-1.2647484599999999,21.97,758,4,3398,0.1761828202009201,0.001,0.0006576265423791483,3209
0.15,330,-1.35091491,25.74,867,4,3845,0.1848679226823151,0.001,0.0005069116341474,3724
0.23,340,-1.3522206000000003,26.4,902,4,3990,0.18565739691257477,0.001,0.0005335601017577574,3881
0.31,350,-1.33518125,26.93,942,4,4157,0.17281033950192587,0.001,0.000650090618624485,4064
0.39,360,-1.2929425,26.89,981,4,4317,0.17045050546526908,0.001,0.000624722882930655,4220
0.47,370,-1.28851116,26.94,997,4,4383,0.16732549294829369,0.001,0.0005965175478195306,4289
0.56,380,-1.29392823,27.8,1039,4,4554,0.1580976814031601,0.001,0.000615876994561404,4452
0.65,390,-1.17130455,25.91,1061,4,4647,0.1515391729772091,0.001,0.0007120475856936537,4543
0.73,400,-0.9697513500000001,22.04,1080,4,4722,0.15166754722595216,0.001,0.0006354732438921928,4621
0.8,410,-0.7992072500000001,18.58,1118,4,4879,0.13916492462158203,0.001,0.0004360110790003091,4784
0.87,420,-0.6409802800000002,15.82,1142,4,4980,0.13639674655028752,0.001,0.0005372754822019488,4886
0.91,430,-0.53015434,11.9,1156,4,5035,0.13810467720031738,0.001,0.0006498836155515164,4940
0.93,440,-0.5113782800000001,11.41,1179,4,5131,0.1252958538631598,0.001,0.0005293438783458745,5036
0.94,450,-0.49212965,10.55,1199,4,5212,0.12717708349227905,0.001,0.0005195084668230265,5115
0.95,460,-0.4737387,9.77,1219,4,5294,0.12269249558448792,0.001,0.0004457354487385601,5198
0.95,470,-0.47533585,9.75,1234,4,5358,0.12259201426059008,0.001,0.0005611337182926945,5261
0.96,480,-0.45024395,8.74,1251,4,5428,0.11672384738922119,0.001,0.00044273246312513946,5334
0.97,490,-0.45091794,8.39,1265,4,5486,0.1181012677649657,0.001,0.000402105263977622,5390
0.97,500,-0.45737824999999993,8.47,1285,4,5569,0.11384529744585355,0.001,0.0003791074123000726,5474
0.98,510,-0.4348189499999999,7.55,1301,4,5634,0.10994344736848559,0.001,0.00039200048610967187,5538
0.99,520,-0.42640358000000006,7.2,1317,4,5700,0.10909538716077805,0.001,0.0003741810469364282,5605
0.98,530,-0.43776913,7.35,1334,4,5770,0.10828287154436111,0.001,0.0003258986475617241,5674
