rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
0.89,43247,10197,-0.7082517600000001,5.95,5880,4,0.0008621657907497138,0.001,43145,0.28127866983413696
0.88,43305,10211,-0.70634337,5.94,5890,4,0.0008542256546206772,0.001,43203,0.2760236859321594
0.87,43359,10224,-0.70246911,5.86,5900,4,0.0009300471574533731,0.001,43256,0.2596149742603302
0.86,43419,10238,-0.7055116300000001,5.79,5910,4,0.0009046094325770225,0.001,43318,0.2697187438607216
0.85,43476,10252,-0.70384929,5.74,5920,4,0.0009281992430000433,0.001,43373,0.28821906447410583
0.87,43537,10266,-0.7011348200000002,5.79,5930,4,0.0008779834121620903,0.001,43435,0.2501644144455592
0.88,43603,10282,-0.7080367399999998,5.86,5940,4,0.0009144669049419463,0.001,43500,0.27436210711797077
0.87,43656,10295,-0.7070631200000003,5.83,5950,4,0.0009327261193123247,0.001,43553,0.26005129019419354
0.89,43720,10310,-0.7128854299999999,5.95,5960,4,0.0008598911559342273,0.001,43615,0.2764151990413666
0.89,43780,10325,-0.7079121899999999,5.87,5970,4,0.0009547764119426054,0.001,43679,0.2517614463965098
0.9,43844,10340,-0.71404125,5.97,5980,4,0.0009385817684233189,0.001,43742,0.27275656660397846
0.92,43908,10355,-0.7188918499999999,6.03,5990,4,0.0008638364844955504,0.001,43806,0.2659268279870351
0.91,43961,10368,-0.7115791800000001,6.02,6000,4,0.0008749702925949047,0.001,43860,0.2636217474937439
0.9,44013,10381,-0.6931030100000001,5.94,6010,4,0.0009730680612847209,0.001,43911,0.278804749250412
0.9,44069,10394,-0.6900340699999999,5.93,6020,4,0.0009043016470968723,0.001,43967,0.262981320420901
0.9,44135,10410,-0.7009397699999999,5.98,6030,4,0.0009037339145184628,0.001,44033,0.26399673024813336
0.88,44187,10422,-0.6896831800000001,5.84,6040,4,0.0009462191665079445,0.001,44085,0.27204879621664685
0.89,44252,10438,-0.7009815300000001,5.96,6050,4,0.000877910574975734,0.001,44148,0.25815760095914203
0.87,44304,10450,-0.69354805,5.84,6060,4,0.0008493490982800722,0.001,44202,0.278446098168691
0.86,44364,10465,-0.699422,5.84,6070,4,0.0008650835204337325,0.001,44261,0.2766363521416982
0.85,44418,10478,-0.6916507099999998,5.74,6080,4,0.0009336011523070434,0.001,44320,0.27283353606859845
0.84,44476,10492,-0.6884282999999999,5.68,6090,4,0.0009871913449993979,0.001,44374,0.2623046537240346
0.85,44529,10504,-0.69199227,5.68,6100,4,0.000870838169551765,0.001,44428,0.28291772802670795
0.86,44587,10518,-0.69950056,5.74,6110,4,0.0009488630942845097,0.001,44484,0.2704475323359172
0.86,44641,10531,-0.69673102,5.72,6120,4,0.0009193910809699446,0.001,44543,0.26114845275878906
0.83,44690,10543,-0.68634979,5.55,6130,4,0.0008481361770204135,0.001,44586,0.2848900035023689
0.83,44749,10557,-0.69734118,5.62,6140,4,0.0009408185530143479,0.001,44645,0.2697087526321411
0.83,44806,10571,-0.68727497,5.54,6150,4,0.0008290291686231891,0.001,44705,0.2716735303401947
0.83,44860,10584,-0.69392284,5.56,6160,4,0.0009222160442732275,0.001,44762,0.2666971832513809
0.82,44915,10597,-0.6830178400000001,5.51,6170,4,0.0009760528004595212,0.001,44813,0.2860862811406453
0.8,44962,10608,-0.67512867,5.44,6180,4,0.0008915849612094462,0.001,44859,0.26955974102020264
0.8,45020,10622,-0.6711979499999999,5.44,6190,4,0.0008040178467386536,0.001,44919,0.27226704359054565
0.82,45091,10639,-0.6898048200000001,5.62,6200,4,0.0009165778340372656,0.001,44988,0.2660936638712883
0.83,45158,10655,-0.70591645,5.71,6210,4,0.000829094133223407,0.001,45054,0.27363406866788864
0.84,45216,10669,-0.7107541699999999,5.75,6220,4,0.0009134498873858579,0.001,45114,0.2547919452190399
0.84,45264,10681,-0.71113686,5.74,6230,4,0.000908337562577799,0.001,45162,0.283906489610672
0.86,45332,10697,-0.7255981999999997,5.83,6240,4,0.0008401142549701035,0.001,45229,0.26765818397204083
0.85,45387,10710,-0.72662834,5.81,6250,4,0.0008621954808144697,0.001,45284,0.2837381213903427
0.85,45444,10724,-0.72593915,5.84,6260,4,0.0008700481784116062,0.001,45342,0.2774230122566223
0.83,45489,10735,-0.7227461199999999,5.74,6270,4,0.0009731166646815836,0.001,45387,0.25034651160240173
0.84,45545,10748,-0.73978961,5.83,6280,4,0.000909480411792174,0.001,45442,0.26515857378641766
0.85,45606,10763,-0.7391121199999999,5.86,6290,4,0.0008499592659063637,0.001,45503,0.2750142614046733
0.82,45657,10775,-0.72277181,5.66,6300,4,0.0008218297734856606,0.001,45555,0.2726341784000397
0.8,45715,10789,-0.71545987,5.57,6310,4,0.0008950578215132866,0.001,45617,0.27603452404340106
0.79,45770,10802,-0.72030548,5.54,6320,4,0.0008353748319980999,0.001,45669,0.27555851141611737
0.81,45834,10818,-0.7359793800000002,5.7,6330,4,0.0008876513747964054,0.001,45731,0.23833869397640228
0.79,45893,10832,-0.7270787599999999,5.61,6340,4,0.0008682506158947945,0.001,45790,0.26754194498062134
0.79,45949,10845,-0.72995561,5.62,6350,4,0.0008924410794861615,0.001,45847,0.26993871480226517
0.8,46006,10859,-0.7305861700000001,5.62,6360,4,0.000886514385153229,0.001,45904,0.2701089680194855
0.82,46063,10873,-0.7383823799999999,5.74,6370,4,0.0008696486183907837,0.001,45962,0.278977632522583
0.83,46122,10887,-0.7384903299999999,5.77,6380,4,0.0008199033812464526,0.001,46020,0.264427974820137
0.8,46174,10899,-0.7357881000000001,5.68,6390,4,0.0009841926609321188,0.001,46072,0.2824962039788564
0.82,46232,10913,-0.73349337,5.75,6400,4,0.0009302803179404388,0.001,46130,0.2778004805246989
0.8,46278,10924,-0.7196979199999999,5.63,6410,4,0.0009141043410636485,0.001,46180,0.2659885386625926
0.82,46343,10940,-0.7141442999999998,5.73,6420,4,0.0008367096209743371,0.001,46240,0.27678316334883374
0.81,46398,10953,-0.6952081500000001,5.64,6430,4,0.0008771612968606254,0.001,46295,0.2694951097170512
0.79,46445,10964,-0.68188739,5.52,6440,4,0.00082541917799972,0.001,46343,0.27502065896987915
0.81,46506,10979,-0.6828669500000001,5.57,6450,4,0.0008411833301319607,0.001,46404,0.26660894602537155
0.8,46562,10992,-0.6837519000000001,5.56,6460,4,0.0009215587148598084,0.001,46460,0.2516295909881592
0.8,46627,11008,-0.6901402299999999,5.64,6470,4,0.0008958903241104313,0.001,46525,0.30200691024462384
0.82,46694,11024,-0.68711298,5.72,6480,4,0.0009328497593135884,0.001,46591,0.2814847727616628
0.84,46755,11039,-0.6903490899999999,5.81,6490,4,0.0008682723273523152,0.001,46652,0.2897595763206482
0.85,46823,11055,-0.6993274300000002,5.91,6500,4,0.0009468907592236064,0.001,46721,0.269981250166893
0.88,46880,11069,-0.70281885,6.02,6510,4,0.0008253379201050848,0.001,46777,0.2586434483528137
0.85,46931,11081,-0.6969407699999999,5.88,6520,4,0.0008462064142804593,0.001,46833,0.2752912938594818
0.86,46993,11096,-0.7061653199999998,5.95,6530,4,0.0009419246593357197,0.001,46891,0.25905153155326843
0.88,47047,11109,-0.7039544699999999,6.02,6540,4,0.0008616491201488922,0.001,46949,0.25298479199409485
0.86,47103,11122,-0.70268562,5.97,6550,4,0.0008887014933861792,0.001,47005,0.2589322328567505
0.88,47171,11138,-0.70977151,6.09,6560,4,0.0009305322795019796,0.001,47069,0.27314067880312604
0.89,47227,11152,-0.7006463300000001,6.0,6570,4,0.0008475068122303734,0.001,47125,0.2600036909182866
0.87,47281,11165,-0.69430672,5.87,6580,4,0.0008553612278774381,0.001,47179,0.2759231775999069
0.87,47342,11180,-0.6963965900000001,5.87,6590,4,0.0008676206925883889,0.001,47240,0.26000332832336426
0.85,47397,11193,-0.6907076699999999,5.74,6600,4,0.0009250977808343512,0.001,47294,0.27657223492860794
0.86,47469,11210,-0.7071525299999998,5.89,6610,4,0.0008414988114964217,0.001,47361,0.2754698594411214
0.86,47520,11222,-0.7114033499999999,5.89,6620,4,0.0008381078077945858,0.001,47422,0.26962631940841675
0.86,47575,11235,-0.70311623,5.82,6630,4,0.0008602668531239033,0.001,47472,0.276793897151947
0.86,47634,11250,-0.715199,5.87,6640,4,0.0006895157566759735,0.001,47530,0.2938816249370575
0.87,47696,11264,-0.7274275099999999,5.93,6650,4,0.0009173631302214094,0.001,47593,0.2858586013317108
0.84,47743,11276,-0.7146281000000001,5.72,6660,4,0.0008957574609667063,0.001,47640,0.2821170886357625
0.84,47808,11291,-0.7252985299999999,5.81,6670,4,0.0007930486074959239,0.001,47704,0.26437405745188397
0.85,47861,11304,-0.7169435799999999,5.8,6680,4,0.0007876054383814335,0.001,47760,0.2738064130147298
0.84,47915,11317,-0.7138292300000001,5.73,6690,4,0.000930314720608294,0.001,47813,0.27132922410964966
0.86,47978,11332,-0.71471936,5.81,6700,4,0.0009099716669879853,0.001,47876,0.26350828011830646
0.86,48040,11347,-0.7030383099999998,5.71,6710,4,0.0008853698673192412,0.001,47938,0.2841698129971822
0.87,48096,11360,-0.6989249,5.76,6720,4,0.0008558331090690834,0.001,47994,0.2843308672308922
0.86,48153,11374,-0.7061766399999999,5.78,6730,4,0.0008579112705774605,0.001,48055,0.26941655576229095
