time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
11202,4,6530,47340,6.2,-0.6450468399999998,0.98,47256,0.21221449474493662,0.0021000855835154653,0.001
11215,4,6540,47395,6.16,-0.63125037,0.98,47311,0.2264660745859146,0.001992903184145689,0.001
11229,4,6550,47454,6.12,-0.62711101,0.98,47370,0.20718900859355927,0.001932541800973316,0.001
11242,4,6560,47510,6.06,-0.6242528599999999,0.98,47426,0.1972317062318325,0.002081185845392091,0.001
11255,4,6570,47565,6.01,-0.6038626500000001,0.99,47480,0.22486664354801178,0.0015136962465476245,0.001
11270,4,6580,47625,5.95,-0.5855519400000001,0.99,47542,0.21252272526423135,0.0018469550219985347,0.001
11283,4,6590,47683,5.96,-0.5874826700000001,1.0,47599,0.21762340515851974,0.0020958314184099437,0.001
11298,4,6600,47743,5.85,-0.5714394199999999,1.0,47658,0.21759247034788132,0.0022389384685084224,0.001
11310,4,6610,47793,5.71,-0.54966905,1.0,47711,0.2000792771577835,0.0019660153891891243,0.001
11323,4,6620,47849,5.63,-0.54420679,0.99,47766,0.21253290275732675,0.0017798549495637416,0.001
11337,4,6630,47911,5.71,-0.56058182,0.99,47826,0.2026064395904541,0.00190009786747396,0.001
11352,4,6640,47972,5.77,-0.56645938,0.99,47888,0.2047282656033834,0.0016189727233722807,0.001
11364,4,6650,48025,5.71,-0.5672409300000001,0.97,47942,0.21811610956986746,0.00173204376672705,0.001
11378,4,6660,48083,5.73,-0.5722809600000001,0.97,47999,0.2129237800836563,0.0021123544041377804,0.001
11393,4,6670,48145,5.8,-0.5851451400000001,0.97,48062,0.21405856683850288,0.001951644180475601,0.001
11408,4,6680,48208,5.83,-0.59109777,0.97,48125,0.19557791203260422,0.002002109051682055,0.001
11422,4,6690,48268,5.85,-0.59200273,0.97,48185,0.22350978354612985,0.002197084133513272,0.001
11437,4,6700,48330,5.87,-0.59345343,0.97,48245,0.20103708654642105,0.001777239900548011,0.001
11452,4,6710,48392,5.99,-0.60758841,0.97,48309,0.21883703768253326,0.0016358317641009177,0.001
11465,4,6720,48448,5.99,-0.6070015799999999,0.98,48364,0.21865510195493698,0.0019205110147595406,0.001
11478,4,6730,48505,5.94,-0.5939948,0.98,48421,0.2037395934263865,0.0017761733227719863,0.001
11494,4,6740,48570,5.98,-0.59713068,0.98,48487,0.1987595558166504,0.001854520128108561,0.001
11510,4,6750,48637,6.12,-0.6086870700000001,1.0,48553,0.20128249377012253,0.0018839893891708925,0.001
11524,4,6760,48697,6.14,-0.59798589,1.0,48612,0.20866544047991434,0.0017978187650442123,0.001
11539,4,6770,48758,6.13,-0.5862607099999999,1.0,48676,0.20715736225247383,0.0018307776689263327,0.001
11554,4,6780,48821,6.13,-0.5887681,1.0,48738,0.20998317003250122,0.001904395952199896,0.001
11568,4,6790,48880,6.12,-0.58866576,1.0,48797,0.21553861101468405,0.002074162043364985,0.001
11582,4,6800,48939,6.09,-0.58877167,1.0,48856,0.2150873988866806,0.0017237392409394185,0.001
11594,4,6810,48992,6.0,-0.58710013,0.99,48911,0.2076847106218338,0.0018685406306758524,0.001
11609,4,6820,49053,6.05,-0.59368962,0.99,48968,0.205209086338679,0.0020740425291781626,0.001
11623,4,6830,49114,6.09,-0.6030597799999999,0.99,49030,0.2147890975077947,0.002166793526460727,0.001
11638,4,6840,49176,6.06,-0.6024731,0.99,49092,0.2069276918967565,0.002326861023902893,0.001
11652,4,6850,49235,5.98,-0.59118893,0.99,49152,0.21417255699634552,0.001971672347281128,0.001
11667,4,6860,49296,5.99,-0.60609897,0.99,49213,0.2074720337986946,0.0018814824288710952,0.001
11681,4,6870,49355,5.97,-0.6183521200000001,0.99,49271,0.20318728685379028,0.002138917043339461,0.001
11695,4,6880,49415,5.94,-0.61803158,0.99,49330,0.2066272310912609,0.0019302037710856115,0.001
11711,4,6890,49482,6.02,-0.62537413,0.99,49395,0.1932222843170166,0.0017155408083150785,0.001
