time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
59789,9470,5.45,0.68,4,-0.67870667,14813,0.001,59688,5.5714779591653496e-05,0.006041348911821842,-0.7385326623916626,0.3055206835269928
59851,9480,5.64,0.71,4,-0.69893356,14829,0.001,59750,4.732012894237414e-05,0.006030520889908075,-0.2173565924167633,0.32736220955848694
59913,9490,5.77,0.74,4,-0.71083867,14844,0.001,59812,6.418558768928051e-05,0.006001447327435017,1.1537562608718872,0.3710850179195404
59974,9500,5.81,0.76,4,-0.72206644,14859,0.001,59873,4.7880690544843674e-05,0.0059930626302957535,-0.04017724096775055,0.30095380544662476
60035,9510,5.85,0.77,4,-0.7218216599999998,14875,0.001,59934,6.273208418861032e-05,0.006064629647880793,0.8318766355514526,0.3893483877182007
60102,9520,5.87,0.78,4,-0.7227731799999999,14891,0.001,60001,5.6195938668679446e-05,0.006043235771358013,-1.4702339172363281,0.3186025321483612
60154,9530,5.73,0.77,4,-0.71125179,14904,0.001,60053,4.209753387840465e-05,0.0059942686930298805,0.005526192486286163,0.3061257600784302
60208,9540,5.7,0.77,4,-0.7103004000000002,14918,0.001,60107,4.4867920223623514e-05,0.006050934549421072,-0.27482426166534424,0.3203038275241852
60269,9550,5.8,0.78,4,-0.7161004900000001,14933,0.001,60168,6.77074640407227e-05,0.006032237783074379,-0.5816372036933899,0.34156346321105957
60331,9560,6.04,0.83,4,-0.74014347,14948,0.001,60230,4.0028109651757404e-05,0.006077390164136887,-0.36137425899505615,0.3547566533088684
60397,9570,6.08,0.84,4,-0.7480262900000001,14965,0.001,60296,4.9738566303858534e-05,0.0060474989004433155,-0.275637686252594,0.3310655951499939
60457,9580,6.06,0.84,4,-0.74522277,14980,0.001,60356,6.674977339571342e-05,0.006071298848837614,-0.1433904469013214,0.3441902697086334
60529,9590,6.16,0.85,4,-0.75845061,14998,0.001,60428,5.060718467575498e-05,0.006037075072526932,-0.33351144194602966,0.34166520833969116
60577,9600,6.03,0.82,4,-0.7463073899999999,15010,0.001,60476,3.995328734163195e-05,0.006090549752116203,0.009814396500587463,0.35816434025764465
60625,9610,5.9,0.8,4,-0.73440822,15022,0.001,60524,5.189017247175798e-05,0.006085684057325125,-0.5521008372306824,0.3286517560482025
60686,9620,5.84,0.8,4,-0.7307894,15037,0.001,60585,3.1417519494425505e-05,0.006029842421412468,-0.6710106134414673,0.34701672196388245
60736,9630,5.82,0.79,4,-0.72980062,15050,0.001,60635,6.702660903101787e-05,0.006040452979505062,-0.4230613708496094,0.33212488889694214
