rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
-1.0277027699999999,4942,0.98,7.78,3,1750,19394,0.001,7.618777317475178e-05,19301,0.2380520049482584
-1.02207067,4964,0.98,7.82,3,1760,19479,0.001,5.325008305590018e-05,19388,0.24753242544829845
-1.0165850200000002,4985,0.98,7.89,3,1770,19557,0.001,4.8116702600964345e-05,19464,0.24003920890390873
-1.0138703299999998,5002,0.97,7.79,3,1780,19625,0.001,6.520411140324238e-05,19533,0.23150523006916046
-1.0349258199999998,5024,0.98,7.91,3,1790,19710,0.001,5.862668467671028e-05,19618,0.24125711619853973
-1.03485589,5046,0.98,7.9,3,1800,19793,0.001,3.878725260619831e-05,19701,0.24596057087183
-1.03291799,5067,0.98,7.94,3,1810,19874,0.001,4.5930343276268104e-05,19782,0.24957571364939213
-1.02478627,5085,0.97,7.82,3,1820,19944,0.001,5.681887185866279e-05,19852,0.24244359774248941
-1.0234729699999998,5106,0.97,7.91,3,1830,20028,0.001,4.582811106956797e-05,19934,0.24917890690267086
-1.04321465,5137,0.97,8.33,3,1840,20145,0.001,7.316636811083299e-05,20054,0.24341842718422413
-1.0426090899999998,5158,0.97,8.33,3,1850,20227,0.001,6.0304445923975436e-05,20136,0.25072915852069855
-1.03777944,5178,0.97,8.25,3,1860,20304,0.001,3.8245803287801596e-05,20210,0.23739086943013327
-1.0430201799999999,5198,0.97,8.24,3,1870,20381,0.001,5.314740228641312e-05,20288,0.24857109189033508
-1.0546950199999998,5217,0.98,8.31,3,1880,20456,0.001,5.814026493074683e-05,20363,0.24350072940190634
-1.03705157,5237,0.98,8.21,3,1890,20531,0.001,5.5813840137691135e-05,20439,0.23555128441916573
-1.03910091,5260,0.98,8.29,3,1900,20622,0.001,4.543781272202198e-05,20528,0.2682747266122273
-1.04215068,5282,0.98,8.32,3,1910,20706,0.001,4.504935277509503e-05,20616,0.2446612074971199
-1.0484969,5302,0.98,8.41,3,1920,20785,0.001,5.473084014998416e-05,20692,0.24835591869694845
-1.04969953,5323,0.98,8.36,3,1930,20864,0.001,8.502815762767568e-05,20770,0.24758186439673105
-1.0326692199999998,5341,0.97,7.93,3,1940,20938,0.001,5.384284704632591e-05,20846,0.254377381503582
-1.02361372,5362,0.97,7.91,3,1950,21018,0.001,8.38752239360474e-05,20928,0.2526103811604636
-1.0235165199999998,5381,0.97,7.88,3,1960,21092,0.001,6.969436071813107e-05,20999,0.24561893194913864
-1.0207171800000001,5403,0.98,7.95,3,1970,21176,0.001,6.476668880038363e-05,21085,0.24720433354377747
-1.03186825,5423,0.97,8.0,3,1980,21256,0.001,4.4820086461388404e-05,21164,0.2533692138062583
-1.04042451,5444,0.96,8.04,3,1990,21335,0.001,0.00014185415056999773,21243,0.2517329255739848
-1.02854129,5466,0.96,8.0,3,2000,21422,0.001,6.104786936905132e-05,21330,0.25022752086321515
-1.0345800499999998,5490,0.96,8.08,3,2010,21514,0.001,4.487982576912535e-05,21413,0.2513370577778135
-1.0378324499999998,5514,0.97,8.2,3,2020,21605,0.001,5.3167803950297334e-05,21512,0.2484767801231808
-1.0352945100000002,5533,0.96,8.18,3,2030,21682,0.001,7.625642926238167e-05,21589,0.24760790914297104
-1.0355335699999997,5553,0.96,8.22,3,2040,21760,0.001,7.542882095939214e-05,21668,0.25680879397051676
-1.0445372699999997,5575,0.96,8.26,3,2050,21844,0.001,6.936607451279997e-05,21753,0.25212238170206547
-1.0555846899999999,5597,0.96,8.35,3,2060,21927,0.001,5.629035796219897e-05,21836,0.24438812832037607
-1.04636445,5618,0.96,8.32,3,2070,22008,0.001,7.599591208418133e-05,21913,0.258929543197155
