rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/success_rate,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
6.16,-0.72800825,19042,4517,4,2300,0.87,0.1941243838518858,0.001,2.1702282538171858e-05,18942
6.06,-0.72093453,19105,4533,4,2310,0.86,0.20479635894298553,0.001,1.4486734471574891e-05,19006
6.1,-0.7249627799999999,19164,4547,4,2320,0.87,0.2011639674504598,0.001,1.7895437849801965e-05,19064
6.02,-0.7057566599999998,19221,4561,4,2330,0.87,0.19034382700920105,0.001,1.811048095987644e-05,19121
6.04,-0.7097256300000001,19282,4575,4,2340,0.87,0.1962799323456628,0.001,1.263871503657096e-05,19186
5.95,-0.70417577,19337,4588,4,2350,0.86,0.19076348202569143,0.001,1.617754826708863e-05,19235
5.91,-0.7087139,19391,4602,4,2360,0.86,0.19474062075217566,0.001,2.0418805130854405e-05,19292
5.92,-0.7122135399999999,19451,4616,4,2370,0.87,0.1958561305488859,0.001,5.0284799986651964e-05,19352
5.91,-0.7086322799999999,19514,4631,4,2380,0.88,0.19755879044532776,0.001,1.7133666915469803e-05,19414
5.96,-0.71340826,19579,4647,4,2390,0.89,0.20712045580148697,0.001,1.547970229391164e-05,19479
6.03,-0.7195588700000001,19645,4663,4,2400,0.91,0.19579104227679117,0.001,2.142057097184339e-05,19546
5.97,-0.7142648,19702,4676,4,2410,0.91,0.18894895911216736,0.001,1.9676514966704417e-05,19602
5.95,-0.7136023300000001,19759,4690,4,2420,0.9,0.21435199429591498,0.001,1.2260686617082683e-05,19658
5.93,-0.7268243799999999,19814,4703,4,2430,0.89,0.21306847035884857,0.001,1.5634811916243052e-05,19714
5.9,-0.71850016,19872,4717,4,2440,0.89,0.2070566245487758,0.001,1.4215513666775742e-05,19776
5.95,-0.7295093300000001,19932,4732,4,2450,0.9,0.2019031856741224,0.001,1.821266609372937e-05,19832
5.93,-0.72623074,19984,4744,4,2460,0.89,0.2017734455210822,0.001,1.40457214001799e-05,19883
5.84,-0.7131453299999998,20035,4757,4,2470,0.88,0.20355183134476343,0.001,2.4570050300098956e-05,19936
5.83,-0.7191282700000001,20097,4771,4,2480,0.87,0.20669119698660715,0.001,2.544324291063406e-05,20001
5.81,-0.7087460599999998,20160,4787,4,2490,0.86,0.19073301340852464,0.001,2.5996577928058935e-05,20059
5.76,-0.7069500700000002,20221,4801,4,2500,0.86,0.20917633672555289,0.001,1.904472219393938e-05,20120
5.81,-0.71221094,20283,4816,4,2510,0.86,0.2051259845495224,0.001,1.8287084822077303e-05,20187
5.88,-0.7213840099999999,20347,4832,4,2520,0.87,0.20453309764464697,0.001,1.7445221449937282e-05,20246
5.92,-0.7178818100000001,20406,4846,4,2530,0.88,0.20496636203357152,0.001,1.7433369846133117e-05,20305
5.98,-0.7280841499999999,20470,4861,4,2540,0.89,0.20595533649126688,0.001,2.0979323077578254e-05,20370
6.04,-0.7201092000000001,20536,4877,4,2550,0.89,0.20906479159990946,0.001,1.6128168075132027e-05,20435
6.14,-0.7279300699999999,20598,4892,4,2560,0.92,0.20320518740585872,0.001,2.1023277440690435e-05,20499
6.32,-0.74683497,20667,4908,4,2570,0.94,0.20580559756074632,0.001,2.327440298748635e-05,20566
6.35,-0.7457283800000001,20732,4924,4,2580,0.94,0.21050104073115758,0.001,5.949437581875827e-05,20630
6.32,-0.7526746899999999,20792,4939,4,2590,0.94,0.2163149118423462,0.001,1.3235280675871763e-05,20693
6.27,-0.7533829799999999,20848,4952,4,2600,0.91,0.2101481333374977,0.001,1.1554400771274231e-05,20747
6.22,-0.7485717,20905,4966,4,2610,0.91,0.2004532441496849,0.001,1.819165117922239e-05,20805
6.11,-0.7341840899999997,20958,4978,4,2620,0.9,0.20519818365573883,0.001,1.993480782402912e-05,20857
6.11,-0.7377645799999999,21017,4993,4,2630,0.9,0.20674928029378256,0.001,1.550367005620501e-05,20917
5.97,-0.72281669,21067,5005,4,2640,0.87,0.20901913344860076,0.001,1.2919238906761166e-05,20965
5.9,-0.7219931399999999,21126,5019,4,2650,0.87,0.1932531918088595,0.001,1.3190669960749801e-05,21030
5.88,-0.7200892299999999,21186,5033,4,2660,0.86,0.20290222764015198,0.001,1.185486121357826e-05,21087
5.66,-0.7002443400000001,21233,5045,4,2670,0.83,0.2039615735411644,0.001,2.1533774088311475e-05,21137
5.55,-0.6871296900000001,21287,5058,4,2680,0.82,0.2042591840028763,0.001,2.0369261983432806e-05,21187
5.53,-0.6873647700000002,21345,5072,4,2690,0.82,0.21630094647407533,0.001,4.7228769108187405e-05,21245
5.61,-0.6917797900000001,21409,5087,4,2700,0.85,0.20879860435213363,0.001,1.419606100431078e-05,21309
5.69,-0.7035194,21474,5103,4,2710,0.86,0.21454806412969316,0.001,1.888201248740578e-05,21373
5.85,-0.7226299300000001,21543,5119,4,2720,0.88,0.2129603773355484,0.001,1.4574009583157022e-05,21442
5.88,-0.71921416,21605,5134,4,2730,0.89,0.20412169992923737,0.001,2.3116306510928553e-05,21506
5.96,-0.7252694000000001,21663,5148,4,2740,0.9,0.21326734373966852,0.001,1.594142016377494e-05,21563
5.97,-0.7327262800000001,21723,5162,4,2750,0.9,0.20413504789272943,0.001,1.4818269846728072e-05,21623
5.89,-0.7270184,21775,5175,4,2760,0.88,0.20907952822744846,0.001,1.3033268487561145e-05,21675
6.08,-0.7498505899999999,21841,5191,4,2770,0.91,0.2047262042760849,0.001,1.3247983068660168e-05,21740
6.14,-0.7463686900000001,21901,5205,4,2780,0.92,0.2063946028550466,0.001,1.663992316025542e-05,21801
6.15,-0.7420546699999998,21960,5219,4,2790,0.93,0.2103400652607282,0.001,1.675121029620641e-05,21861
6.14,-0.7449462599999999,22023,5235,4,2800,0.92,0.20929889593805587,0.001,1.5468625471320202e-05,21923
5.99,-0.72952951,22073,5247,4,2810,0.89,0.19765817267554148,0.001,1.5533245719520244e-05,21977
5.91,-0.71116877,22134,5261,4,2820,0.89,0.21026753187179564,0.001,1.7811820725910366e-05,22034
