rollout/success_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
0.84,15200,56165,5.11,10100,3,-0.4908935099999999,0.001,0.17319712936878204,56065,4.403960429044673e-06
0.85,15215,56221,5.15,10110,3,-0.49106837000000003,0.001,0.18272584974765776,56118,5.9881559991481485e-06
0.81,15228,56266,5.09,10120,3,-0.49602586000000004,0.001,0.1806320051352183,56166,3.7220082731437287e-06
0.81,15242,56318,5.06,10130,3,-0.49327844000000004,0.001,0.1825805127620697,56216,5.269976372801466e-06
0.82,15254,56364,5.04,10140,3,-0.4870374199999999,0.001,0.1827469676733017,56262,3.7353634070314e-06
0.83,15269,56419,5.1,10150,3,-0.4943274,0.001,0.18110827207565308,56317,4.87983675157011e-06
0.82,15284,56472,5.08,10160,3,-0.49362074,0.001,0.18360138237476348,56369,4.6390243369387464e-06
0.81,15297,56520,5.05,10170,3,-0.49982858,0.001,0.18138427038987479,56416,1.9530238811663974e-05
0.85,15311,56571,5.13,10180,3,-0.49745157,0.001,0.1780588984489441,56469,4.328835530031938e-06
0.83,15324,56621,5.09,10190,3,-0.50025422,0.001,0.17778249680995942,56518,4.277079597159172e-06
0.82,15337,56668,5.03,10200,3,-0.49338959999999993,0.001,0.18293434083461763,56566,5.50918289263791e-06
0.82,15351,56721,5.0,10210,3,-0.49173156000000007,0.001,0.17907162606716157,56619,7.086710047587985e-06
0.86,15365,56773,5.07,10220,3,-0.49423975,0.001,0.18248487114906312,56671,3.956022601414588e-06
0.86,15379,56822,5.04,10230,3,-0.49175217,0.001,0.18009200394153596,56719,5.015903388994047e-06
0.87,15393,56874,5.1,10240,3,-0.4940243200000001,0.001,0.1747378898518426,56772,7.3321278120732e-06
0.84,15406,56922,5.03,10250,3,-0.49000109999999997,0.001,0.18100254833698273,56819,7.343583638430573e-06
0.83,15419,56969,4.97,10260,3,-0.48745908000000004,0.001,0.17997641364733377,56869,1.0900649764759388e-05
0.85,15432,57019,4.99,10270,3,-0.48105237,0.001,0.18009734898805618,56919,5.033378480826893e-06
0.86,15448,57075,5.04,10280,3,-0.48714155000000003,0.001,0.17971306294202805,56973,3.5010974291556827e-06
0.89,15461,57125,5.04,10290,3,-0.47532022000000007,0.001,0.18000324070453644,57024,7.247036410262808e-06
0.9,15475,57177,5.09,10300,3,-0.48190348,0.001,0.17529083490371705,57074,8.508549763064366e-06
0.88,15489,57227,5.06,10310,3,-0.4829602800000001,0.001,0.17471137146155039,57125,5.175020608779353e-06
0.85,15502,57274,5.01,10320,3,-0.48092469,0.001,0.17350623508294424,57172,1.2157504291584095e-05
0.84,15515,57321,4.99,10330,3,-0.48157245000000004,0.001,0.18868461499611536,57218,1.2544233565373967e-05
0.85,15530,57378,5.04,10340,3,-0.49063048000000004,0.001,0.18588265776634216,57275,7.358295609568207e-06
0.87,15545,57434,5.12,10350,3,-0.4980390799999999,0.001,0.17744420220454535,57331,5.143292203986978e-06
0.87,15558,57482,5.13,10360,3,-0.4997332299999999,0.001,0.18417545258998871,57382,5.277161744743353e-06
0.87,15573,57535,5.16,10370,3,-0.5096941399999999,0.001,0.17710798233747482,57433,1.5017525129223941e-05
0.87,15589,57596,5.21,10380,3,-0.51139475,0.001,0.1827994187672933,57493,1.2255737298498085e-05
0.85,15604,57649,5.24,10390,3,-0.5251661400000001,0.001,0.18221227079629898,57549,6.9563299121000455e-06
0.83,15617,57699,5.22,10400,3,-0.52415756,0.001,0.18364748358726501,57599,4.11697763930923e-06
