rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/success_rate,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
-0.25189054,4.51,3,20237,79406,1.0,16280,79311,0.00034470268292352557,0.001,0.11160844564437866
-0.25507415,4.53,3,20250,79453,1.0,16290,79356,0.0003949849196942523,0.001,0.10687871277332306
-0.25354977,4.48,3,20261,79498,1.0,16300,79404,0.0003703754802700132,0.001,0.10861037423213322
-0.2517798,4.46,3,20272,79541,1.0,16310,79447,0.0004017684259451926,0.001,0.11811178177595139
-0.25075695,4.44,3,20283,79584,1.0,16320,79490,0.00037855021946597844,0.001,0.11307669058442116
-0.25544297000000005,4.47,3,20295,79631,1.0,16330,79536,0.00037547211395576595,0.001,0.10977142800887425
-0.25222691999999997,4.44,3,20307,79676,1.0,16340,79582,0.00034305639564991,0.001,0.10889020562171936
-0.25008356000000004,4.43,3,20318,79719,1.0,16350,79625,0.0003618410919443704,0.001,0.11061463132500648
-0.25454828,4.48,3,20330,79766,1.0,16360,79671,0.00038955944182816893,0.001,0.1100475216905276
-0.25398981000000004,4.47,3,20341,79809,1.0,16370,79714,0.0003897986258380115,0.001,0.10708049684762955
-0.25299515,4.46,3,20352,79852,1.0,16380,79758,0.0003661303853732534,0.001,0.11095739528536797
-0.25340597000000004,4.47,3,20365,79900,1.0,16390,79806,0.00038111472385935483,0.001,0.11479870229959488
-0.25138710999999997,4.45,3,20376,79943,1.0,16400,79849,0.0003339816932566464,0.001,0.1104433685541153
-0.25260558,4.46,3,20387,79987,1.0,16410,79892,0.0003819813355221413,0.001,0.10916829481720924
-0.25436093000000004,4.48,3,20399,80032,1.0,16420,79937,0.00034528319374658165,0.001,0.10638751089572906
-0.24786794999999998,4.44,3,20410,80075,1.0,16430,79981,0.000368629080185201,0.001,0.1079588234424591
-0.24721944,4.47,3,20422,80123,1.0,16440,80027,0.0003836176299955696,0.001,0.1127195693552494
-0.24702361,4.48,3,20434,80167,1.0,16450,80073,0.0003949478268623352,0.001,0.11331142485141754
-0.24596678,4.46,3,20445,80212,1.0,16460,80118,0.0003594809822971001,0.001,0.11349451169371605
-0.24683342,4.51,3,20458,80260,1.0,16470,80165,0.00037945363874314353,0.001,0.11451406031847
-0.2490326,4.56,3,20470,80308,1.0,16480,80213,0.00039530262438347563,0.001,0.11644390970468521
-0.24696157999999996,4.54,3,20482,80354,1.0,16490,80260,0.0003601847274694592,0.001,0.10878827050328255
