rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
-0.73853601,64061,15512,6.29,4,0.91,9800,0.16763771431786673,6.401029271988332e-05,63955,0.001
-0.72292647,64107,15524,6.08,4,0.87,9810,0.1675548872777394,5.082348174515313e-05,64002,0.001
-0.7068442799999999,64160,15536,5.92,4,0.85,9820,0.15909363329410553,3.620340248744469e-05,64054,0.001
-0.70747217,64216,15550,5.93,4,0.86,9830,0.1683867871761322,5.792849801114893e-05,64111,0.001
-0.7098625700000001,64281,15566,5.93,4,0.85,9840,0.1714591064623424,4.014156209970159e-05,64173,0.001
-0.70554333,64338,15580,5.81,4,0.82,9850,0.1795501485466957,5.162632078281604e-05,64232,0.001
-0.7125926800000001,64400,15595,5.83,4,0.82,9860,0.16853252798318863,3.9751033303521886e-05,64293,0.001
-0.70073975,64455,15609,5.77,4,0.8,9870,0.1712691510717074,0.00011768287852949773,64353,0.001
-0.7133038099999999,64517,15624,5.87,4,0.81,9880,0.16543543338775635,7.697671389905736e-05,64409,0.001
-0.7049271300000001,64569,15636,5.72,4,0.79,9890,0.16448985785245895,3.435205053392565e-05,64462,0.001
-0.7039901799999998,64622,15649,5.61,4,0.79,9900,0.17524677763382593,3.837501966093745e-05,64516,0.001
-0.7147628599999999,64686,15665,5.79,4,0.84,9910,0.1742169881860415,5.594728160455512e-05,64580,0.001
-0.7177029800000001,64748,15680,5.88,4,0.85,9920,0.16684357225894927,4.297382984077558e-05,64640,0.001
-0.7180653499999998,64802,15693,5.86,4,0.84,9930,0.17122029016415277,6.862979231906745e-05,64695,0.001
-0.7118928899999999,64863,15708,5.82,4,0.84,9940,0.16507668793201447,4.8960822823573835e-05,64757,0.001
-0.70938154,64922,15722,5.84,4,0.85,9950,0.1699150860309601,5.305601880536415e-05,64815,0.001
-0.69857721,64978,15736,5.78,4,0.85,9960,0.16485701501369476,4.7920565521053504e-05,64873,0.001
-0.7090377,65050,15754,5.95,4,0.87,9970,0.16415383347443172,5.334750936266833e-05,64944,0.001
-0.7062266399999999,65113,15769,5.96,4,0.88,9980,0.1584680024534464,6.567519608324801e-05,65006,0.001
-0.7026277000000002,65172,15783,6.03,4,0.91,9990,0.17263229688008627,5.324316164963724e-05,65067,0.001
-0.70313063,65230,15797,6.08,4,0.9,10000,0.17135735281876155,4.4011830790883065e-05,65125,0.001
-0.6985459999999999,65283,15810,5.97,4,0.88,10010,0.16891256471474966,6.424217220531621e-05,65176,0.001
-0.7059007499999999,65342,15825,5.94,4,0.87,10020,0.1709396243095398,6.948806237362857e-05,65236,0.001
-0.7078393899999998,65397,15838,5.95,4,0.87,10030,0.1711663395166397,5.155270337127149e-05,65291,0.001
-0.7040137900000002,65459,15853,5.96,4,0.87,10040,0.17089356978734335,5.0041799921826976e-05,65353,0.001
-0.7038861700000002,65514,15867,5.92,4,0.87,10050,0.17108182821955,4.7021032514749095e-05,65412,0.001
-0.7048306400000002,65577,15882,5.99,4,0.87,10060,0.1670139559677669,4.3744574733344575e-05,65465,0.001
