time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss
4,12594,51210,8070,0.76,-0.7153987699999999,5.77,0.0045921774581074715,0.33487066626548767,0.6701846122741699,51109,0.001,0.00011174692190252244
4,12606,51258,8080,0.76,-0.7209484699999998,5.77,0.004573336336761713,0.292172908782959,0.5510186553001404,51157,0.001,0.0001296783157158643
4,12621,51316,8090,0.76,-0.71722331,5.77,0.004542396403849125,0.3009595274925232,0.9931163191795349,51215,0.001,0.0002600036677904427
4,12637,51381,8100,0.76,-0.72046243,5.85,0.004580512642860413,0.32611292600631714,-1.4379454851150513,51280,0.001,0.00016749012866057456
4,12650,51432,8110,0.75,-0.7183660900000001,5.81,0.004531847778707743,0.3325391411781311,-1.095628261566162,51331,0.001,0.0002621648018248379
4,12665,51493,8120,0.72,-0.7056741699999998,5.75,0.004374681506305933,0.29768455028533936,-0.5327761769294739,51392,0.001,0.0001976683852262795
4,12674,51531,8130,0.69,-0.69952875,5.61,0.004335352685302496,0.32218241691589355,-0.7859578132629395,51430,0.001,0.0002443728153593838
4,12689,51589,8140,0.69,-0.69696337,5.63,0.004356741439551115,0.33689093589782715,0.8254351019859314,51488,0.001,0.00011458469089120626
4,12704,51649,8150,0.71,-0.70369502,5.7,0.0045075141824781895,0.3224906623363495,0.714772641658783,51548,0.001,0.00013156872591935098
4,12717,51703,8160,0.71,-0.69596393,5.64,0.0045996615663170815,0.3049057126045227,-0.4669937193393707,51602,0.001,0.00020836724434047937
4,12733,51764,8170,0.71,-0.6885103999999999,5.54,0.004623007029294968,0.31735074520111084,0.45467913150787354,51663,0.001,0.00023784814402461052
4,12749,51828,8180,0.73,-0.69897434,5.7,0.0046230400912463665,0.3107992708683014,1.2002617120742798,51727,0.001,0.0001292238594032824
4,12763,51885,8190,0.73,-0.6986438399999997,5.69,0.004589850548654795,0.36025553941726685,-0.3180100619792938,51784,0.001,0.0002004900889005512
4,12776,51939,8200,0.71,-0.6926669899999999,5.58,0.004551038611680269,0.34482207894325256,0.3904991149902344,51838,0.001,0.0001345354103250429
4,12791,52000,8210,0.73,-0.69422249,5.68,0.004558592569082975,0.3252011239528656,-1.0738563537597656,51899,0.001,0.0002500172413419932
4,12804,52049,8220,0.72,-0.6965238400000001,5.56,0.004562580958008766,0.3198181986808777,-0.03718453645706177,51948,0.001,0.00020072716870345175
4,12816,52099,8230,0.74,-0.7048918499999999,5.68,0.004613548517227173,0.32964450120925903,-0.8145288825035095,51998,0.001,0.0001461967040086165
4,12829,52152,8240,0.74,-0.70207341,5.63,0.004600921180099249,0.30485278367996216,1.0072426795959473,52051,0.001,0.0001835424336604774
4,12847,52223,8250,0.76,-0.7061125799999999,5.74,0.0045040142722427845,0.3089938163757324,-3.287687063217163,52122,0.001,0.00017619899881538004
4,12865,52293,8260,0.78,-0.71888702,5.9,0.004442962817847729,0.27900972962379456,-1.6983375549316406,52192,0.001,0.00018242497753817588
4,12879,52352,8270,0.77,-0.71039613,5.88,0.004444371908903122,0.31253767013549805,0.5504118204116821,52251,0.001,0.0002761056530289352
4,12897,52421,8280,0.79,-0.70964759,5.93,0.004528912249952555,0.3229992389678955,-0.7963862419128418,52320,0.001,0.00019357603741809726
4,12908,52466,8290,0.77,-0.6995070399999997,5.81,0.004545944277197123,0.31202012300491333,-0.11829163134098053,52365,0.001,0.0001343099429504946
4,12925,52533,8300,0.81,-0.7068043300000001,5.94,0.004597686231136322,0.3118220567703247,1.0429400205612183,52432,0.001,0.0001387403317494318
4,12941,52600,8310,0.82,-0.71885895,6.0,0.004536040127277374,0.3214026391506195,0.072445809841156,52499,0.001,0.000212775994441472
4,12956,52658,8320,0.83,-0.7284157900000001,6.09,0.004509668331593275,0.3165026605129242,1.1556551456451416,52557,0.001,0.0002199652954004705
4,12972,52721,8330,0.86,-0.7370154800000001,6.22,0.004497264977544546,0.3295300304889679,-1.1251492500305176,52620,0.001,0.0002568581257946789
