rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
-0.37886510000000007,6708,4.84,33528,6050,4,0.95,33422,1.008367382837605e-05,0.14208215475082397,0.001
-0.38429512000000005,6719,4.91,33579,6060,4,0.96,33473,6.941394206348507e-06,0.13747120755059378,0.001
-0.37833217,6727,4.8,33621,6070,4,0.94,33517,9.305313506047242e-06,0.1368289977312088,0.001
-0.38558641,6738,4.88,33674,6080,4,0.95,33569,1.152936620201217e-05,0.13866432011127472,0.001
-0.38859444000000004,6748,4.91,33724,6090,4,0.95,33620,1.2083430283382767e-05,0.14217866361141204,0.001
-0.38735068999999994,6759,4.92,33776,6100,4,0.94,33674,7.568367527710506e-06,0.14000482559204103,0.001
-0.3778066300000001,6768,4.88,33823,6110,4,0.94,33719,1.6505686835444068e-05,0.13342464119195938,0.001
-0.38356726,6779,4.92,33879,6120,4,0.94,33774,1.3501659793746512e-05,0.14095519669353962,0.001
-0.39314799,6790,4.97,33931,6130,4,0.94,33826,8.057198328970117e-06,0.14538895711302757,0.001
-0.3931253700000001,6799,4.97,33975,6140,4,0.95,33870,7.689312496950151e-06,0.13962284103035927,0.001
-0.39652969000000005,6809,5.01,34029,6150,4,0.96,33924,2.2692417951475362e-05,0.14097751379013063,0.001
-0.39883533000000004,6820,5.04,34083,6160,4,0.96,33978,6.8029291924176505e-06,0.13630199059844017,0.001
-0.4020381800000001,6830,5.12,34133,6170,4,0.98,34028,5.56265486011398e-06,0.13893857598304749,0.001
-0.40437452,6841,5.11,34185,6180,4,0.97,34079,4.560478146231617e-06,0.1367330178618431,0.001
-0.40623113000000005,6851,5.13,34237,6190,4,0.97,34131,1.3163145376893226e-05,0.13751704394817352,0.001
-0.40421632,6862,5.13,34289,6200,4,0.98,34185,6.497328968180227e-06,0.13573895022273064,0.001
-0.41083256999999995,6873,5.19,34342,6210,4,0.98,34238,2.4593114176241215e-05,0.1383304253220558,0.001
-0.41125553,6883,5.13,34392,6220,4,0.97,34287,7.4393965405761264e-06,0.13894350230693817,0.001
-0.40640429999999994,6892,5.09,34440,6230,4,0.96,34336,7.1551478413312e-06,0.1409028358757496,0.001
-0.40960861000000004,6903,5.18,34493,6240,4,0.97,34388,5.89416958973743e-06,0.1387358419597149,0.001
-0.40651525000000005,6914,5.16,34545,6250,4,0.97,34441,1.0357960582041414e-05,0.1385006546974182,0.001
-0.4009074299999999,6924,5.12,34595,6260,4,0.97,34490,7.2167938848603326e-06,0.14202211797237396,0.001
-0.39537875000000006,6932,5.05,34638,6270,4,0.96,34533,1.5431801102749887e-05,0.13947216980159283,0.001
-0.3925528900000001,6943,5.08,34693,6280,4,0.97,34588,8.3505970906117e-06,0.14031161069869996,0.001
-0.39104956,6953,5.06,34743,6290,4,0.97,34636,1.4291150137069053e-05,0.1341526135802269,0.001
-0.38936263000000004,6963,5.03,34792,6300,4,0.97,34687,1.9201895338483154e-05,0.1365094006061554,0.001
-0.38380068000000006,6973,4.96,34838,6310,4,0.96,34733,2.0409162516443757e-05,0.1423659324645996,0.001
-0.37511949,6982,4.91,34883,6320,4,0.96,34779,8.371742069357424e-06,0.14134420081973076,0.001
-0.38053285,6993,4.99,34939,6330,4,0.97,34832,1.9860196819839377e-05,0.13880131269494692,0.001
-0.38138738999999994,7004,5.03,34996,6340,4,0.97,34891,1.7946758816833608e-05,0.13303183888395628,0.001
-0.38186865,7015,5.02,35047,6350,4,0.97,34941,1.9205221254499822e-05,0.13986589883764586,0.001
-0.38352025999999995,7025,5.05,35100,6360,4,0.97,34996,1.3642615158460103e-05,0.14346103966236115,0.001
-0.38223754,7035,5.09,35147,6370,4,0.97,35045,2.3777557362336666e-05,0.13648533821105957,0.001
-0.38154958,7045,5.07,35200,6380,4,0.97,35092,1.4019949958310463e-05,0.1402473747730255,0.001
-0.37962647000000005,7054,5.0,35243,6390,4,0.94,35137,9.54862434809911e-06,0.14257921651005745,0.001
-0.3798180899999999,7064,5.01,35293,6400,4,0.94,35187,5.0468936478864634e-06,0.13493575900793076,0.001
-0.3863699900000001,7074,5.05,35343,6410,4,0.94,35238,9.94889493692123e-06,0.13454598188400269,0.001
-0.39043674,7085,5.14,35397,6420,4,0.95,35292,9.980261438613525e-06,0.14003468304872513,0.001
-0.38834508000000006,7095,5.09,35448,6430,4,0.95,35344,6.9743570747959895e-06,0.13882707059383392,0.001
-0.38831430000000006,7106,5.03,35499,6440,4,0.94,35393,4.946992589793808e-06,0.1400777523716291,0.001
-0.38396418,7115,4.98,35545,6450,4,0.93,35441,4.990379125047184e-06,0.1372515931725502,0.001
-0.38436651999999993,7125,4.95,35595,6460,4,0.93,35489,7.268064261249189e-06,0.13939553499221802,0.001
-0.39335520000000007,7136,5.01,35648,6470,4,0.94,35542,2.1290335644152948e-05,0.13869080543518067,0.001
-0.3891665199999999,7146,5.0,35700,6480,4,0.94,35594,7.194974516875975e-06,0.1409909107855388,0.001
-0.39119145999999994,7157,5.08,35751,6490,4,0.97,35646,8.378932488994905e-06,0.148484268784523,0.001
-0.3944532699999999,7167,5.11,35804,6500,4,0.97,35699,4.833345428778557e-06,0.13806913793087006,0.001
-0.40492077000000004,7178,5.18,35861,6510,4,0.98,35755,6.93189713274478e-06,0.13858026514450708,0.001
-0.40549374,7189,5.16,35913,6520,4,0.98,35807,5.4056616136222145e-06,0.13882250785827638,0.001
