rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/success_rate,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
-0.63228827,7.15,270,432,2049,4,0.01,0.5118292272090912,1943,0.001,0.0008041700348258018
-0.6305298899999999,7.15,280,446,2119,4,0.01,0.5143624345461527,2012,0.001,0.0008134732294517258
-0.64738969,7.12,290,460,2188,4,0.01,0.5283171335856119,2081,0.001,0.000850511623346912
-0.64788219,7.07,300,474,2254,4,0.01,0.5312273303667704,2147,0.001,0.0009129113251609462
-0.64205115,7.04,310,488,2322,4,0.02,0.5388150215148926,2215,0.001,0.000684596539940685
-0.64454307,7.06,320,503,2395,4,0.01,0.5424001663923264,2288,0.001,0.0010946971929765173
-0.6560622599999999,7.18,330,521,2478,4,0.01,0.5444728334744772,2359,0.001,0.0005355656321626157
-0.63830935,7.12,340,536,2548,4,0.02,0.5542217493057251,2441,0.001,0.0012256274640094489
-0.6425864700000001,7.35,350,556,2643,4,0.02,0.5658443570137024,2536,0.001,0.0010874423647432455
-0.75893252,9.75,360,629,2953,4,0.03,0.5615477189421654,2839,0.001,0.001446053053608493
-1.03214185,14.64,370,761,3513,4,0.03,0.5773213088512421,3313,0.001,0.0013298014371951178
-1.0972581999999997,17.34,380,842,3853,4,0.08,0.570540783405304,3737,0.001,0.0017316801188280806
-1.2736102700000003,22.78,390,989,4466,4,0.13,0.5689300310611725,4350,0.001,0.0023942764021921904
-1.55880756,27.73,400,1122,5027,4,0.13,0.5269525188207627,4921,0.001,0.002346768759889528
-1.5956190299999997,27.96,410,1141,5118,4,0.12,0.5688070431351662,4995,0.001,0.002510059806809295
-1.7427658400000001,32.81,420,1274,5676,4,0.15,0.5728677129745483,5476,0.001,0.0022774538974044845
-1.8353848200000002,36.53,430,1383,6131,4,0.19,0.5565880250930786,6025,0.001,0.002861989961238578
-1.9073411399999998,39.4,440,1468,6488,4,0.25,0.5471113622188568,6369,0.001,0.005310907959938049
-1.97753319,43.02,450,1577,6945,4,0.33,0.5142923519015312,6809,0.001,0.004487726328079589
-1.90408096,43.13,460,1654,7266,4,0.41,0.5032652115279977,7160,0.001,0.004904478036967868
-1.6954726799999997,41.4,470,1747,7653,4,0.48,0.49118534922599794,7538,0.001,0.004911311488184664
-1.6615790400000001,40.65,480,1810,7918,4,0.52,0.4748181477189064,7811,0.001,0.004703528765175078
-1.48958005,36.74,490,1863,8140,4,0.56,0.44481120506922406,8034,0.001,0.004636179190129042
-1.2020038100000001,32.07,500,1886,8234,4,0.66,0.45855484157800674,8126,0.001,0.004385757725685835
-1.1703027,32.85,510,1926,8403,4,0.75,0.4548579603433609,8297,0.001,0.005658154987031594
-1.0452869599999999,29.86,520,1989,8662,4,0.8,0.4498477125167847,8557,0.001,0.00529235289664939
-0.93411268,26.69,530,2022,8800,4,0.86,0.44321221113204956,8694,0.001,0.005144314840435982
-0.84652448,23.88,540,2040,8876,4,0.89,0.4430575370788574,8767,0.001,0.005186167196370661
-0.7541485099999998,20.07,550,2058,8952,4,0.91,0.4291055202484131,8847,0.001,0.005404608401780327
-0.69020252,17.53,560,2074,9019,4,0.92,0.43506745994091034,8913,0.001,0.004751067201141268
-0.6014326,14.52,570,2095,9105,4,0.95,0.4202630817890167,9001,0.001,0.0061095796525478365
-0.55644655,12.59,580,2112,9177,4,0.96,0.4198862388730049,9070,0.001,0.006259946065256372
-0.5202273099999999,11.0,590,2127,9240,4,0.97,0.4440598785877228,9134,0.001,0.005699184335147341
-0.5115115800000001,11.03,600,2150,9337,4,0.97,0.402132789293925,9232,0.001,0.0058249460067600015
-0.48595489000000003,9.92,610,2164,9395,4,0.98,0.4107687175273895,9290,0.001,0.005308595672249794
