rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
4.65,87551,17750,1.0,-0.25527507000000005,22211,3,0.00036188867525197563,87452,0.10619502514600754,0.001
4.61,87595,17760,1.0,-0.25708634,22223,3,0.00033876161905936896,87497,0.10717927664518356,0.001
4.66,87642,17770,1.0,-0.26035272000000004,22235,3,0.00034836583654396236,87543,0.11531686037778854,0.001
4.67,87689,17780,1.0,-0.25947136,22247,3,0.0003118940949207172,87590,0.10199461504817009,0.001
4.64,87731,17790,1.0,-0.25882978,22258,3,0.0003587965984479524,87633,0.11216887459158897,0.001
4.58,87774,17800,1.0,-0.26070678999999997,22269,3,0.0003473201868473552,87675,0.11131466925144196,0.001
4.6,87821,17810,1.0,-0.26193058,22281,3,0.0003446921706199646,87722,0.10572202255328496,0.001
4.57,87864,17820,1.0,-0.2626580599999999,22292,3,0.00037515852018259465,87766,0.1104118749499321,0.001
4.49,87907,17830,1.0,-0.2631633300000001,22303,3,0.0003765106841456145,87809,0.11467660591006279,0.001
4.5,87956,17840,1.0,-0.26145302,22316,3,0.00037150218267925086,87857,0.11009301617741585,0.001
4.52,88003,17850,1.0,-0.26384757000000003,22328,3,0.000367978576105088,87904,0.10627323637406032,0.001
4.55,88050,17860,1.0,-0.2656829,22340,3,0.0003473351476714015,87951,0.10785192251205444,0.001
4.55,88097,17870,1.0,-0.2645471199999999,22352,3,0.00037431999226100743,87997,0.10796310380101204,0.001
4.52,88141,17880,1.0,-0.25912453999999996,22363,3,0.0003850228458759375,88042,0.11180035397410393,0.001
4.58,88189,17890,1.0,-0.25925953000000007,22376,3,0.0003631708605098538,88091,0.1076812893152237,0.001
4.58,88232,17900,1.0,-0.26208655999999997,22387,3,0.0003703340131323785,88133,0.10480938479304314,0.001
4.57,88278,17910,1.0,-0.25930216000000006,22399,3,0.00036489355989033356,88180,0.10732647031545639,0.001
4.58,88322,17920,1.0,-0.25894537999999995,22410,3,0.0003739240055438131,88224,0.10695952922105789,0.001
4.62,88369,17930,1.0,-0.26040556,22422,3,0.00031339090201072396,88271,0.1117570549249649,0.001
4.56,88412,17940,1.0,-0.25911277999999993,22433,3,0.0003341130563057959,88314,0.11260214447975159,0.001
4.57,88460,17950,1.0,-0.25916532,22445,3,0.0003593147703213617,88361,0.11593727022409439,0.001
4.57,88507,17960,1.0,-0.25519161,22457,3,0.00037000848533352837,88409,0.11242873966693878,0.001
4.61,88558,17970,1.0,-0.2589353100000001,22471,3,0.00034149524678165716,88460,0.11013012131055196,0.001
4.66,88607,17980,1.0,-0.26292344,22483,3,0.00038771043182350695,88508,0.10691538080573082,0.001
4.64,88653,17990,1.0,-0.26032869000000003,22495,3,0.00036213730830543983,88555,0.1131417949994405,0.001
4.62,88694,18000,1.0,-0.25519694000000004,22506,3,0.00035469094291329384,88596,0.10860279699166615,0.001
4.65,88743,18010,1.0,-0.26109758000000005,22518,3,0.0004093281866516918,88643,0.10541923716664314,0.001
4.65,88787,18020,1.0,-0.25989884999999996,22530,3,0.0003314360947115347,88689,0.10722235962748528,0.001
4.61,88830,18030,1.0,-0.25779193,22541,3,0.00035422858491074294,88732,0.116790771484375,0.001
4.68,88880,18040,1.0,-0.26169336,22554,3,0.00035627923789434136,88781,0.12148037180304527,0.001
4.66,88926,18050,1.0,-0.26047072,22565,3,0.00038068116797755164,88828,0.10496363540490468,0.001
4.63,88970,18060,1.0,-0.25942496000000004,22577,3,0.0003351659470354207,88871,0.10515173897147179,0.001
4.59,89017,18070,1.0,-0.25383716,22589,3,0.00036534760147333145,88919,0.11387167125940323,0.001
4.6,89067,18080,1.0,-0.25264169,22602,3,0.0003351677674800158,88969,0.11447862535715103,0.001
4.58,89111,18090,1.0,-0.25385726,22613,3,0.0003467569185886532,89013,0.11273447051644325,0.001
4.64,89158,18100,1.0,-0.25730188000000004,22625,3,0.00031195242772810163,89059,0.10919902101159096,0.001
4.56,89199,18110,1.0,-0.24961608000000002,22636,3,0.0003251380694564432,89101,0.1234750747680664,0.001
4.61,89248,18120,1.0,-0.25212374,22648,3,0.0003427342919167131,89149,0.10918191075325012,0.001
4.63,89293,18130,1.0,-0.25489764000000004,22660,3,0.00036609359085559845,89195,0.1019718237221241,0.001
4.57,89337,18140,1.0,-0.25158002999999995,22671,3,0.00036065230233361945,89239,0.10626104474067688,0.001
4.57,89383,18150,1.0,-0.25284349,22683,3,0.0003160070482408628,89284,0.10430779308080673,0.001
4.57,89427,18160,1.0,-0.2516077399999999,22694,3,0.0003176975005771965,89329,0.10927368327975273,0.001
4.58,89475,18170,1.0,-0.25407917999999996,22707,3,0.00032666962943039834,89373,0.1125805713236332,0.001
4.52,89519,18180,1.0,-0.25298086,22718,3,0.0003726715804077685,89421,0.10863573104143143,0.001
4.54,89565,18190,1.0,-0.25443742,22730,3,0.0003025597194209695,89467,0.10836528241634369,0.001
4.49,89607,18200,1.0,-0.24961182,22741,3,0.0003452964883763343,89509,0.10408512502908707,0.001
4.52,89651,18210,1.0,-0.25406427,22752,3,0.00034304276923649015,89552,0.10879521320263545,0.001
4.49,89697,18220,1.0,-0.2536527,22764,3,0.0003412061560084112,89599,0.11369987204670906,0.001
4.45,89738,18230,1.0,-0.25051932,22774,3,0.0003308515952085145,89640,0.10581887513399124,0.001
4.45,89782,18240,1.0,-0.25108326999999997,22786,3,0.0003733900302904658,89684,0.11055505275726318,0.001
4.43,89826,18250,1.0,-0.24785297,22797,3,0.00032582280691713096,89727,0.11107374727725983,0.001
4.43,89870,18260,1.0,-0.25025552,22808,3,0.00036021518462803215,89772,0.09874746575951576,0.001
4.39,89914,18270,1.0,-0.24770013999999996,22820,3,0.0003448770206887275,89816,0.11511195451021194,0.001
4.39,89958,18280,1.0,-0.24776450000000005,22831,3,0.0003543362196069211,89860,0.10936703781286876,0.001
4.38,90003,18290,1.0,-0.24895650000000002,22843,3,0.0003351977618876845,89904,0.10578154027462006,0.001
4.4,90047,18300,1.0,-0.25153263,22854,3,0.0003566932209650986,89949,0.10799432918429375,0.001
4.45,90096,18310,1.0,-0.25437893,22867,3,0.00036467399331741035,89998,0.10777641832828522,0.001
4.45,90142,18320,1.0,-0.25390242,22878,3,0.0003575391892809421,90043,0.10866712778806686,0.001
4.49,90187,18330,1.0,-0.25636571999999996,22890,3,0.00035738521546591073,90088,0.1092730201780796,0.001
4.5,90232,18340,1.0,-0.2575614,22902,3,0.00029676989652216434,90134,0.1099597488840421,0.001
4.48,90274,18350,1.0,-0.25541562,22912,3,0.0003938947193091735,90175,0.11728419363498688,0.001
4.5,90320,18360,1.0,-0.25358457000000006,22924,3,0.00036158947041258215,90222,0.10848029951254527,0.001
